County,Date,Count
Brevard,2020-07-04,3
Brevard,2020-07-05,1
Brevard,2020-07-06,3
Brevard,2020-07-07,5
Brevard,2020-07-08,8
Brevard,2020-07-09,3
Brevard,2020-07-10,5
Brevard,2020-07-11,12
Brevard,2020-07-13,7
Brevard,2020-07-14,7
Brevard,2020-07-15,8
Brevard,2020-07-16,9
Brevard,2020-07-17,14
Brevard,2020-07-18,12
Brevard,2020-07-19,5
Brevard,2020-07-20,7
Brevard,2020-07-21,4
Brevard,2020-07-22,5
Brevard,2020-07-23,4
Brevard,2020-07-24,10
Brevard,2020-07-25,1
Brevard,2020-07-26,3
Brevard,2020-07-27,3
Brevard,2020-07-28,7
Brevard,2020-07-29,8
Brevard,2020-07-30,6
Brevard,2020-07-31,7
Brevard,2020-08-01,2
Brevard,2020-08-03,5
Brevard,2020-08-04,4
Brevard,2020-08-05,7
Brevard,2020-08-06,1
Brevard,2020-08-07,9
Brevard,2020-08-08,5
Brevard,2020-08-09,1
Brevard,2020-08-10,13
Brevard,2020-08-11,4
Brevard,2020-08-12,1
Brevard,2020-08-13,7
Brevard,2020-08-14,4
Brevard,2020-08-15,1
Brevard,2020-08-16,1
Brevard,2020-08-17,10
Brevard,2020-08-18,5
Brevard,2020-08-19,9
Brevard,2020-08-20,4
Brevard,2020-08-21,3
Brevard,2020-08-24,2
Brevard,2020-08-25,5
Brevard,2020-08-26,3
Brevard,2020-08-27,1
Brevard,2020-08-28,4
Brevard,2020-08-30,3
Brevard,2020-08-31,2
Brevard,2020-09-01,5
Brevard,2020-09-02,1
Brevard,2020-09-03,2
Brevard,2020-09-04,3
Brevard,2020-09-08,5
Brevard,2020-09-09,1
Brevard,2020-09-10,2
Brevard,2020-09-11,1
Brevard,2020-09-12,1
Brevard,2020-09-13,2
Brevard,2020-09-14,4
Brevard,2020-09-16,1
Brevard,2020-09-17,1
Brevard,2020-09-18,1
Brevard,2020-09-20,2
Brevard,2020-09-22,2
Brevard,2020-09-24,1
Brevard,2020-09-25,2
Brevard,2020-09-28,6
Brevard,2020-09-29,1
Brevard,2020-09-30,2
Brevard,2020-10-01,1
Brevard,2020-10-02,1
Brevard,2020-10-05,1
Brevard,2020-10-06,2
Brevard,2020-10-07,1
Brevard,2020-10-08,2
Brevard,2020-10-09,3
Brevard,2020-10-12,1
Brevard,2020-10-13,2
Brevard,2020-10-14,2
Brevard,2020-10-16,4
Brevard,2020-10-17,2
Brevard,2020-10-19,1
Brevard,2020-10-20,1
Brevard,2020-10-22,4
Brevard,2020-10-25,3
Brevard,2020-10-26,1
Brevard,2020-10-27,2
Brevard,2020-10-28,1
Brevard,2020-10-29,5
Brevard,2020-10-30,2
Brevard,2020-11-02,2
Brevard,2020-11-04,1
Brevard,2020-11-06,1
Brevard,2020-11-09,2
Brevard,2020-11-10,1
Brevard,2020-11-11,1
Brevard,2020-11-12,1
Brevard,2020-11-16,1
Broward,2020-03-12,1
Broward,2020-03-15,1
Broward,2020-03-16,1
Broward,2020-03-18,2
Broward,2020-03-19,2
Broward,2020-03-20,2
Broward,2020-03-21,2
Broward,2020-03-22,2
Broward,2020-03-23,4
Broward,2020-03-24,3
Broward,2020-03-25,12
Broward,2020-03-26,3
Broward,2020-03-27,9
Broward,2020-03-28,6
Broward,2020-03-29,5
Broward,2020-03-30,8
Broward,2020-03-31,4
Broward,2020-04-01,9
Broward,2020-04-02,5
Broward,2020-04-03,11
Broward,2020-04-04,9
Broward,2020-04-05,7
Broward,2020-04-06,5
Broward,2020-04-07,9
Broward,2020-04-08,9
Broward,2020-04-09,12
Broward,2020-04-10,10
Broward,2020-04-11,3
Broward,2020-04-12,16
Broward,2020-04-13,11
Broward,2020-04-14,7
Broward,2020-04-15,5
Broward,2020-04-16,7
Broward,2020-04-17,3
Broward,2020-04-18,10
Broward,2020-04-19,8
Broward,2020-04-20,7
Broward,2020-04-21,4
Broward,2020-04-22,11
Broward,2020-04-23,12
Broward,2020-04-24,5
Broward,2020-04-25,7
Broward,2020-04-26,2
Broward,2020-04-27,6
Broward,2020-04-28,5
Broward,2020-04-29,7
Broward,2020-04-30,5
Broward,2020-05-01,7
Broward,2020-05-02,2
Broward,2020-05-03,4
Broward,2020-05-04,10
Broward,2020-05-05,1
Broward,2020-05-06,2
Broward,2020-05-07,2
Broward,2020-05-09,4
Broward,2020-05-10,1
Broward,2020-05-11,3
Broward,2020-05-12,2
Broward,2020-05-13,2
Broward,2020-05-14,6
Broward,2020-05-16,6
Broward,2020-05-17,2
Broward,2020-05-18,1
Broward,2020-05-19,3
Broward,2020-05-20,1
Broward,2020-05-21,3
Broward,2020-05-22,6
Broward,2020-05-23,1
Broward,2020-05-24,1
Broward,2020-05-25,2
Broward,2020-05-26,3
Broward,2020-05-27,2
Broward,2020-05-28,1
Broward,2020-05-29,5
Broward,2020-05-30,2
Broward,2020-05-31,1
Broward,2020-06-02,3
Broward,2020-06-03,2
Broward,2020-06-04,4
Broward,2020-06-05,2
Broward,2020-06-06,1
Broward,2020-06-07,3
Broward,2020-06-08,2
Broward,2020-06-09,3
Broward,2020-06-10,1
Broward,2020-06-11,3
Broward,2020-06-12,2
Broward,2020-06-13,3
Broward,2020-06-14,2
Broward,2020-06-15,2
Broward,2020-06-16,5
Broward,2020-06-17,4
Broward,2020-06-18,1
Broward,2020-06-19,5
Broward,2020-06-20,8
Broward,2020-06-21,5
Broward,2020-06-22,10
Broward,2020-06-23,5
Broward,2020-06-24,6
Broward,2020-06-25,9
Broward,2020-06-26,13
Broward,2020-06-27,15
Broward,2020-06-28,8
Broward,2020-06-29,12
Broward,2020-06-30,10
Broward,2020-07-01,24
Broward,2020-07-02,20
Broward,2020-07-03,12
Broward,2020-07-04,28
Broward,2020-07-05,7
Broward,2020-07-06,26
Broward,2020-07-07,19
Broward,2020-07-08,17
Broward,2020-07-09,37
Broward,2020-07-10,33
Broward,2020-07-11,25
Broward,2020-07-12,28
Broward,2020-07-13,31
Broward,2020-07-14,31
Broward,2020-07-15,31
Broward,2020-07-16,29
Broward,2020-07-17,16
Broward,2020-07-18,35
Broward,2020-07-19,30
Broward,2020-07-20,19
Broward,2020-07-21,30
Broward,2020-07-22,22
Broward,2020-07-23,30
Broward,2020-07-24,31
Broward,2020-07-25,14
Broward,2020-07-26,28
Broward,2020-07-27,7
Broward,2020-07-28,27
Broward,2020-07-29,22
Broward,2020-07-30,13
Broward,2020-07-31,15
Broward,2020-08-01,18
Broward,2020-08-02,17
Broward,2020-08-03,8
Broward,2020-08-04,7
Broward,2020-08-05,17
Broward,2020-08-06,9
Broward,2020-08-07,9
Broward,2020-08-08,10
Broward,2020-08-09,5
Broward,2020-08-10,16
Broward,2020-08-11,9
Broward,2020-08-12,18
Broward,2020-08-13,6
Broward,2020-08-14,12
Broward,2020-08-15,5
Broward,2020-08-16,10
Broward,2020-08-17,3
Broward,2020-08-18,6
Broward,2020-08-19,15
Broward,2020-08-20,4
Broward,2020-08-21,4
Broward,2020-08-22,6
Broward,2020-08-23,3
Broward,2020-08-25,7
Broward,2020-08-26,4
Broward,2020-08-27,1
Broward,2020-08-28,4
Broward,2020-08-30,7
Broward,2020-08-31,6
Broward,2020-09-01,4
Broward,2020-09-02,2
Broward,2020-09-03,5
Broward,2020-09-04,4
Broward,2020-09-05,2
Broward,2020-09-06,4
Broward,2020-09-07,1
Broward,2020-09-08,1
Broward,2020-09-09,1
Broward,2020-09-10,1
Broward,2020-09-11,3
Broward,2020-09-12,1
Broward,2020-09-15,2
Broward,2020-09-17,3
Broward,2020-09-18,1
Broward,2020-09-19,2
Broward,2020-09-21,3
Broward,2020-09-23,2
Broward,2020-09-24,2
Broward,2020-09-26,2
Broward,2020-09-28,3
Broward,2020-09-29,2
Broward,2020-09-30,4
Broward,2020-10-01,1
Broward,2020-10-03,1
Broward,2020-10-04,2
Broward,2020-10-06,4
Broward,2020-10-09,3
Broward,2020-10-10,3
Broward,2020-10-12,2
Broward,2020-10-13,2
Broward,2020-10-15,1
Broward,2020-10-16,2
Broward,2020-10-18,1
Broward,2020-10-19,3
Broward,2020-10-20,1
Broward,2020-10-21,2
Broward,2020-10-22,1
Broward,2020-10-23,2
Broward,2020-10-26,1
Broward,2020-10-27,2
Broward,2020-10-28,2
Broward,2020-10-29,1
Broward,2020-10-30,1
Broward,2020-10-31,2
Broward,2020-11-04,1
Broward,2020-11-08,1
Broward,2020-11-14,1
Broward,2020-11-16,1
Calhoun,2020-05-01,2
Calhoun,2020-05-14,2
Calhoun,2020-05-22,1
Calhoun,2020-05-29,1
Calhoun,2020-07-02,1
Calhoun,2020-07-06,1
Calhoun,2020-07-18,1
Calhoun,2020-07-26,1
Calhoun,2020-08-07,1
Calhoun,2020-08-21,1
Calhoun,2020-08-28,1
Calhoun,2020-09-04,1
Calhoun,2020-09-11,1
Calhoun,2020-10-10,1
Calhoun,2020-10-11,1
Calhoun,2020-10-15,1
Calhoun,2020-10-16,1
Calhoun,2020-10-28,1
Calhoun,2020-11-02,1
Charlotte,2020-03-28,4
Charlotte,2020-03-29,1
Charlotte,2020-03-30,1
Charlotte,2020-04-02,1
Charlotte,2020-04-03,2
Charlotte,2020-04-05,1
Charlotte,2020-04-06,1
Charlotte,2020-04-07,2
Charlotte,2020-04-10,4
Charlotte,2020-04-11,1
Charlotte,2020-04-12,1
Charlotte,2020-04-17,1
Charlotte,2020-04-20,1
Charlotte,2020-04-22,4
Charlotte,2020-04-23,8
Charlotte,2020-04-29,3
Charlotte,2020-04-30,2
Charlotte,2020-05-02,1
Charlotte,2020-05-04,3
Charlotte,2020-05-05,9
Charlotte,2020-05-06,1
Charlotte,2020-05-07,1
Charlotte,2020-05-08,1
Charlotte,2020-05-09,2
Charlotte,2020-05-11,4
Charlotte,2020-05-12,1
Charlotte,2020-05-13,2
Charlotte,2020-05-14,1
Charlotte,2020-05-15,1
Charlotte,2020-05-16,2
Charlotte,2020-05-19,1
Charlotte,2020-05-20,1
Charlotte,2020-05-21,1
Charlotte,2020-05-23,1
Charlotte,2020-05-24,1
Charlotte,2020-05-28,1
Charlotte,2020-05-31,1
Charlotte,2020-06-04,1
Charlotte,2020-06-12,1
Charlotte,2020-06-21,1
Charlotte,2020-06-22,1
Charlotte,2020-06-27,2
Charlotte,2020-06-28,4
Charlotte,2020-06-29,1
Charlotte,2020-07-01,2
Charlotte,2020-07-02,2
Charlotte,2020-07-04,1
Charlotte,2020-07-07,1
Charlotte,2020-07-09,3
Charlotte,2020-07-10,2
Charlotte,2020-07-13,2
Charlotte,2020-07-14,1
Charlotte,2020-07-17,2
Charlotte,2020-07-18,3
Charlotte,2020-07-19,1
Charlotte,2020-07-20,1
Charlotte,2020-07-21,2
Charlotte,2020-07-22,1
Charlotte,2020-07-23,1
Charlotte,2020-07-25,1
Charlotte,2020-07-26,2
Charlotte,2020-07-27,1
Charlotte,2020-07-28,1
Charlotte,2020-07-29,1
Charlotte,2020-07-30,1
Charlotte,2020-07-31,2
Charlotte,2020-08-01,1
Charlotte,2020-08-02,2
Charlotte,2020-08-03,1
Charlotte,2020-08-05,2
Charlotte,2020-08-06,3
Charlotte,2020-08-07,2
Charlotte,2020-08-12,1
Charlotte,2020-08-14,2
Charlotte,2020-08-15,1
Charlotte,2020-08-16,1
Charlotte,2020-08-17,1
Charlotte,2020-08-18,1
Charlotte,2020-08-19,1
Charlotte,2020-08-20,2
Charlotte,2020-08-21,3
Charlotte,2020-08-26,2
Charlotte,2020-08-27,1
Charlotte,2020-08-28,1
Charlotte,2020-08-30,1
Charlotte,2020-08-31,2
Charlotte,2020-09-01,1
Charlotte,2020-09-06,1
Charlotte,2020-09-07,1
Charlotte,2020-09-10,1
Charlotte,2020-09-12,1
Charlotte,2020-09-17,3
Charlotte,2020-09-19,1
Charlotte,2020-09-22,1
Charlotte,2020-09-23,4
Charlotte,2020-09-25,2
Charlotte,2020-09-28,1
Charlotte,2020-09-30,2
Charlotte,2020-10-01,1
Charlotte,2020-10-03,2
Charlotte,2020-10-09,1
Charlotte,2020-10-10,1
Charlotte,2020-10-15,1
Charlotte,2020-10-21,1
Charlotte,2020-10-25,1
Charlotte,2020-10-29,1
Charlotte,2020-11-02,1
Citrus,2020-03-18,1
Citrus,2020-03-27,1
Citrus,2020-04-02,1
Citrus,2020-04-04,1
Citrus,2020-04-07,2
Citrus,2020-04-10,1
Citrus,2020-04-12,2
Citrus,2020-04-16,1
Citrus,2020-04-19,1
Citrus,2020-05-10,1
Citrus,2020-06-19,1
Citrus,2020-06-27,1
Citrus,2020-06-30,2
Citrus,2020-07-02,2
Citrus,2020-07-05,2
Citrus,2020-07-10,1
Citrus,2020-07-13,5
Citrus,2020-07-14,1
Citrus,2020-07-15,1
Citrus,2020-07-16,1
Citrus,2020-07-17,1
Citrus,2020-07-18,1
Citrus,2020-07-19,3
Citrus,2020-07-20,2
Citrus,2020-07-23,4
Citrus,2020-07-24,3
Citrus,2020-07-25,1
Citrus,2020-07-26,1
Citrus,2020-07-27,1
Citrus,2020-07-28,1
Citrus,2020-07-29,3
Citrus,2020-07-31,2
Citrus,2020-08-01,2
Citrus,2020-08-03,2
Citrus,2020-08-04,5
Citrus,2020-08-05,4
Citrus,2020-08-06,1
Citrus,2020-08-07,3
Citrus,2020-08-11,1
Citrus,2020-08-12,3
Citrus,2020-08-13,1
Citrus,2020-08-14,3
Citrus,2020-08-15,2
Citrus,2020-08-17,3
Citrus,2020-08-18,1
Citrus,2020-08-19,1
Citrus,2020-08-21,2
Citrus,2020-08-25,3
Citrus,2020-08-26,5
Citrus,2020-08-29,2
Citrus,2020-08-30,1
Citrus,2020-08-31,2
Citrus,2020-09-02,1
Citrus,2020-09-03,6
Citrus,2020-09-04,7
Citrus,2020-09-06,4
