Date,Positive ,Negative ,PropPositive
20-Oct,341,6317,5.121658156
21-Oct,829,15242,5.158359778
22-Oct,517,16083,3.114457831
23-Oct,598,23824,2.448611907
24-Oct,313,8801,3.434276937
25-Oct,592,9507,5.861966531
26-Oct,724,12145,5.62592276
27-Oct,727,12717,5.407616781
28-Oct,664,12492,5.047126786
29-Oct,862,14665,5.551619759
30-Oct,337,5498,5.775492716
31-Oct,1284,22374,5.427339589
1-Nov,578,8770,6.183140779
2-Nov,857,12240,6.54348324
3-Nov,694,9484,6.818628414
4-Nov,1381,18594,6.913642053
5-Nov,1049,14076,6.93553719
6-Nov,808,8792,8.416666667
7-Nov,1687,21798,7.183308495
8-Nov,520,6022,7.94863956
9-Nov,398,5979,6.241179238
10-Nov,659,10899,5.701678491
11-Nov,1199,11770,9.245122986
12-Nov,1843,18286,9.15594416
13-Nov,1166,10871,9.686799036
14-Nov,2337,24233,8.795634174
15-Nov,992,12099,7.577725155
16-Nov,1852,18731,8.997716562
17-Nov,1657,16308,9.22349012
18-Nov,1926,21880,8.090397379
